Date,^GSPC,^IXIC,^DJI
2004-12-07,1177.0699462890625,2114.659912109375,10440.580078125
2004-12-08,1182.81005859375,2126.110107421875,10494.23046875
2004-12-09,1189.239990234375,2129.010009765625,10552.8203125
2004-12-10,1188.0,2128.070068359375,10543.2197265625
2004-12-13,1198.6800537109375,2148.5,10638.3203125
2004-12-14,1203.3800048828125,2159.840087890625,10676.4501953125
2004-12-15,1205.719970703125,2162.550048828125,10691.4501953125
2004-12-16,1203.2099609375,2146.14990234375,10705.6396484375
2004-12-17,1194.199951171875,2135.199951171875,10649.919921875
2004-12-20,1194.6500244140625,2127.85009765625,10661.599609375
2004-12-21,1205.449951171875,2150.909912109375,10759.4296875
2004-12-22,1209.5699462890625,2157.030029296875,10815.8896484375
2004-12-23,1210.1300048828125,2160.6201171875,10827.1201171875
2004-12-27,1204.9200439453125,2154.219970703125,10776.1298828125
2004-12-28,1213.5400390625,2177.18994140625,10854.5400390625
2004-12-29,1213.449951171875,2177.0,10829.1904296875
2004-12-30,1213.550048828125,2178.340087890625,10800.2998046875
2004-12-31,1211.9200439453125,2175.43994140625,10783.009765625
2005-01-03,1202.0799560546875,2152.14990234375,10729.4296875
2005-01-04,1188.050048828125,2107.860107421875,10630.7802734375
2005-01-05,1183.739990234375,2091.239990234375,10597.830078125
2005-01-06,1187.8900146484375,2090.0,10622.8798828125
2005-01-07,1186.18994140625,2088.610107421875,10603.9599609375
2005-01-10,1190.25,2097.0400390625,10621.0302734375
2005-01-11,1182.989990234375,2079.6201171875,10556.2197265625
2005-01-12,1187.699951171875,2092.530029296875,10617.7802734375
2005-01-13,1177.449951171875,2070.56005859375,10505.830078125
2005-01-14,1184.52001953125,2087.909912109375,10558.0
2005-01-18,1195.97998046875,2106.0400390625,10628.7900390625
2005-01-19,1184.6300048828125,2073.590087890625,10539.9697265625
2005-01-20,1175.4100341796875,2045.8800048828125,10471.4697265625
2005-01-21,1167.8699951171875,2034.27001953125,10392.990234375
2005-01-24,1163.75,2008.699951171875,10368.6103515625
2005-01-25,1168.4100341796875,2019.949951171875,10461.5595703125
